Request: insert
90% (μs): 6.914
99% (μs): 7.251
99.9% (μs): 7.746
Request: insert
Batch size: 10
RPS: 153033
Avg (μs): 6.535
Med (μs): 6.480
Min (μs): 5.940
Max (μs): 17.369
90% (μs): 6.773
99% (μs): 7.100
99.9% (μs): 7.522
Request: select
Batch size: 10
RPS: 148725
Avg (μs): 6.724
Med (μs): 6.670
Min (μs): 6.172
Max (μs): 18.044
90% (μs): 6.960
99% (μs): 7.280
99.9% (μs): 7.615
Request: replace
Batch size: 10
RPS: 152718
Avg (μs): 6.548
Med (μs): 6.490
Min (μs): 6.044
Max (μs): 21.830
90% (μs): 6.788
99% (μs): 7.108
99.9% (μs): 7.597
Request: delete
Batch size: 10
RPS: 150076
Avg (μs): 6.663
Med (μs): 6.609
Min (μs): 6.079
Max (μs): 13.485
90% (μs): 6.897
99% (μs): 7.222
99.9% (μs): 7.618
Request: insert
Batch size: 10
RPS: 152508
Avg (μs): 6.557
Med (μs): 6.501
Min (μs): 5.805
Max (μs): 13.542
90% (μs): 6.797
99% (μs): 7.120
99.9% (μs): 7.440
Request: select
Batch size: 10
RPS: 148843
Avg (μs): 6.718
Med (μs): 6.662
Min (μs): 6.142
Max (μs): 13.632
90% (μs): 6.948
99% (μs): 7.334
99.9% (μs): 8.949
Request: replace
Batch size: 10
RPS: 152531
Avg (μs): 6.556
Med (μs): 6.501
Min (μs): 5.988
Max (μs): 13.321
90% (μs): 6.796
99% (μs): 7.111
99.9% (μs): 7.470
Request: delete
Batch size: 10
RPS: 149625
Avg (μs): 6.683
Med (μs): 6.636
Min (μs): 6.157
Max (μs): 128.642
90% (μs): 6.914
99% (μs): 7.239
99.9% (μs): 7.717
Request: insert
Batch size: 10
RPS: 153148
Avg (μs): 6.530
Med (μs): 6.475
Min (μs): 5.950
Max (μs): 13.309
90% (μs): 6.766
99% (μs): 7.080
99.9% (μs): 7.444
Request: select
Batch size: 10
RPS: 149147
Avg (μs): 6.705
Med (μs): 6.654
Min (μs): 6.088
Max (μs): 13.437
90% (μs): 6.940
99% (μs): 7.270
99.9% (μs): 7.617
Request: replace
Batch size: 10
RPS: 153207
Avg (μs): 6.527
Med (μs): 6.472
Min (μs): 5.997
Max (μs): 21.667
90% (μs): 6.765
99% (μs): 7.101
99.9% (μs): 7.773
Request: delete
Batch size: 10
RPS: 150339
Avg (μs): 6.652
Med (μs): 6.613
Min (μs): 6.024
Max (μs): 13.735
90% (μs): 6.896
99% (μs): 7.211
99.9% (μs): 7.543
Request: insert
Batch size: 10
RPS: 154731
Avg (μs): 6.463
Med (μs): 6.408
Min (μs): 5.930
Max (μs): 129.159
90% (μs): 6.697
99% (μs): 7.032
99.9% (μs): 7.428
Request: select
Batch size: 10
RPS: 149315
Avg (μs): 6.697
Med (μs): 6.646
Min (μs): 6.048
Max (μs): 27.487
90% (μs): 6.934
99% (μs): 7.264
99.9% (μs): 7.597
Request: replace
Batch size: 10
RPS: 153664
Avg (μs): 6.508
Med (μs): 6.456
Min (μs): 5.942
Max (μs): 30.110
90% (μs): 6.744
99% (μs): 7.056
99.9% (μs): 7.502
Request: delete
Batch size: 10
RPS: 150169
Avg (μs): 6.659
Med (μs): 6.606
Min (μs): 6.175
Max (μs): 27.311
90% (μs): 6.892
99% (μs): 7.223
99.9% (μs): 7.583
Request: insert
Batch size: 10
RPS: 153282
Avg (μs): 6.524
Med (μs): 6.470
Min (μs): 6.002
Max (μs): 36.892
90% (μs): 6.761
99% (μs): 7.094
99.9% (μs): 7.425
Request: select
Batch size: 10
RPS: 149313
Avg (μs): 6.697
Med (μs): 6.648
Min (μs): 6.161
Max (μs): 27.436
90% (μs): 6.931
99% (μs): 7.261
99.9% (μs): 7.593
Request: replace
Batch size: 10
RPS: 154067
Avg (μs): 6.491
Med (μs): 6.437
Min (μs): 5.935
Max (μs): 26.979
90% (μs): 6.731
99% (μs): 7.074
99.9% (μs): 7.408
Request: delete
Batch size: 10
RPS: 150390
Avg (μs): 6.649
Med (μs): 6.600
Min (μs): 5.965
Max (μs): 27.159
90% (μs): 6.885
99% (μs): 7.202
99.9% (μs): 7.639
Request: insert
Batch size: 10
RPS: 153478
Avg (μs): 6.516
Med (μs): 6.461
Min (μs): 5.922
Max (μs): 347.467
90% (μs): 6.750
99% (μs): 7.065
99.9% (μs): 7.413
Request: select
Batch size: 10
RPS: 149968
Avg (μs): 6.668
Med (μs): 6.630
Min (μs): 6.094
Max (μs): 27.301
90% (μs): 6.914
99% (μs): 7.248
99.9% (μs): 7.628
Request: replace
Batch size: 10
RPS: 153065
Avg (μs): 6.533
Med (μs): 6.481
Min (μs): 5.906
Max (μs): 17.408
90% (μs): 6.769
99% (μs): 7.095
99.9% (μs): 7.516
Request: delete
Batch size: 10
RPS: 150520
Avg (μs): 6.644
Med (μs): 6.592
Min (μs): 6.029
Max (μs): 17.622
90% (μs): 6.880
99% (μs): 7.215
99.9% (μs): 7.553
Request: insert
Batch size: 10
RPS: 153967
Avg (μs): 6.495
Med (μs): 6.445
Min (μs): 5.915
Max (μs): 44.150
90% (μs): 6.727
99% (μs): 7.064
99.9% (μs): 7.633
Request: select
Batch size: 10
RPS: 148832
Avg (μs): 6.719
Med (μs): 6.661
Min (μs): 5.980
Max (μs): 44.988
90% (μs): 6.947
99% (μs): 7.307
99.9% (μs): 8.632
Request: replace
Batch size: 10
RPS: 153143
Avg (μs): 6.530
Med (μs): 6.477
Min (μs): 5.989
Max (μs): 17.827
90% (μs): 6.762
99% (μs): 7.086
99.9% (μs): 7.448
Request: delete
Batch size: 10
RPS: 150342
Avg (μs): 6.651
Med (μs): 6.606
Min (μs): 6.118
Max (μs): 21.521
90% (μs): 6.888
99% (μs): 7.196
99.9% (μs): 7.527
Request: insert
Batch size: 10
RPS: 153304
Avg (μs): 6.523
Med (μs): 6.474
Min (μs): 5.815
Max (μs): 17.038
90% (μs): 6.759
99% (μs): 7.074
99.9% (μs): 7.439
Request: select
Batch size: 10
RPS: 148184
Avg (μs): 6.748
Med (μs): 6.667
Min (μs): 6.176
Max (μs): 2179.559
90% (μs): 6.952
99% (μs): 7.278
99.9% (μs): 7.669
Request: replace
Batch size: 10
RPS: 153559
Avg (μs): 6.512
Med (μs): 6.457
Min (μs): 5.965
Max (μs): 17.716
90% (μs): 6.745
99% (μs): 7.100
99.9% (μs): 7.541
Request: delete
Batch size: 10
RPS: 143033
Avg (μs): 6.991
Med (μs): 6.600
Min (μs): 5.982
Max (μs): 34363.662
90% (μs): 6.883
99% (μs): 7.214
99.9% (μs): 7.641
Request: insert
Batch size: 10
RPS: 153422
Avg (μs): 6.518
Med (μs): 6.458
Min (μs): 5.936
Max (μs): 503.027
90% (μs): 6.747
99% (μs): 7.092
99.9% (μs): 7.521
Request: select
Batch size: 10
RPS: 149091
Avg (μs): 6.707
Med (μs): 6.654
Min (μs): 6.186
Max (μs): 19.975
90% (μs): 6.942
99% (μs): 7.265
99.9% (μs): 7.734
Request: replace
Batch size: 10
RPS: 154163
Avg (μs): 6.487
Med (μs): 6.431
Min (μs): 5.901
Max (μs): 624.784
90% (μs): 6.716
99% (μs): 7.037
99.9% (μs): 7.385
Request: delete
Batch size: 10
RPS: 146359
Avg (μs): 6.833
Med (μs): 6.603
Min (μs): 6.140
Max (μs): 18366.788
90% (μs): 6.879
99% (μs): 7.211
99.9% (μs): 7.652
Request: insert
Batch size: 10
RPS: 152998
Avg (μs): 6.536
Med (μs): 6.482
Min (μs): 5.964
Max (μs): 156.550
90% (μs): 6.767
99% (μs): 7.100
99.9% (μs): 7.753
Request: select
Batch size: 10
RPS: 149184
Avg (μs): 6.703
Med (μs): 6.642
Min (μs): 6.119
Max (μs): 1439.640
90% (μs): 6.924
99% (μs): 7.245
99.9% (μs): 7.617
Request: replace
Batch size: 10
RPS: 153076
Avg (μs): 6.533
Med (μs): 6.474
Min (μs): 5.904
Max (μs): 172.778
90% (μs): 6.760
99% (μs): 7.094
99.9% (μs): 7.558
Request: delete
Batch size: 10
RPS: 150154
Avg (μs): 6.660
Med (μs): 6.612
Min (μs): 5.981
Max (μs): 13.503
90% (μs): 6.887
99% (μs): 7.238
99.9% (μs): 8.636
Request: insert
Batch size: 10
RPS: 153014
Avg (μs): 6.535
Med (μs): 6.477
Min (μs): 5.756
Max (μs): 27.377
90% (μs): 6.763
99% (μs): 7.146
99.9% (μs): 8.519
Request: select
Batch size: 10
RPS: 149526
Avg (μs): 6.688
Med (μs): 6.637
Min (μs): 6.129
Max (μs): 13.576
90% (μs): 6.920
99% (μs): 7.270
99.9% (μs): 7.697
Request: replace
Batch size: 10
RPS: 153456
Avg (μs): 6.517
Med (μs): 6.466
Min (μs): 5.907
Max (μs): 21.805
90% (μs): 6.749
99% (μs): 7.066
99.9% (μs): 7.421
Request: delete
Batch size: 10
RPS: 150998
Avg (μs): 6.623
Med (μs): 6.581
Min (μs): 5.965
Max (μs): 13.347
90% (μs): 6.855
99% (μs): 7.186
99.9% (μs): 7.608
Request: insert
Batch size: 10
RPS: 153585
Avg (μs): 6.511
Med (μs): 6.461
Min (μs): 5.957
Max (μs): 13.182
90% (μs): 6.743
99% (μs): 7.074
99.9% (μs): 7.456
Request: select
Batch size: 10
RPS: 149334
Avg (μs): 6.696
Med (μs): 6.646
Min (μs): 6.174
Max (μs): 13.725
90% (μs): 6.926
99% (μs): 7.258
99.9% (μs): 7.733
Request: replace
Batch size: 10
RPS: 153577
Avg (μs): 6.511
Med (μs): 6.461
Min (μs): 5.928
Max (μs): 23.906
90% (μs): 6.741
99% (μs): 7.112
99.9% (μs): 8.362
Request: delete
Batch size: 10
RPS: 150102
Avg (μs): 6.662
Med (μs): 6.604
Min (μs): 5.893
Max (μs): 246.480
90% (μs): 6.882
99% (μs): 7.238
99.9% (μs): 8.620
Request: insert
Batch size: 10
RPS: 154101
Avg (μs): 6.489
Med (μs): 6.444
Min (μs): 5.940
Max (μs): 26.879
90% (μs): 6.721
99% (μs): 7.042
99.9% (μs): 7.412
Request: select
Batch size: 10
RPS: 149114
Avg (μs): 6.706
Med (μs): 6.652
Min (μs): 6.165
Max (μs): 13.573
90% (μs): 6.928
99% (μs): 7.306
99.9% (μs): 8.716
Request: replace
Batch size: 10
RPS: 153529
Avg (μs): 6.513
Med (μs): 6.460
Min (μs): 5.988
Max (μs): 21.673
90% (μs): 6.742
99% (μs): 7.061
99.9% (μs): 7.394
Request: delete
Batch size: 10
RPS: 149949
Avg (μs): 6.669
Med (μs): 6.616
Min (μs): 6.062
Max (μs): 13.697
90% (μs): 6.896
99% (μs): 7.235
99.9% (μs): 7.886
Request: insert
Batch size: 10
RPS: 154940
Avg (μs): 6.454
Med (μs): 6.406
Min (μs): 5.908
Max (μs): 126.711
90% (μs): 6.689
99% (μs): 7.003
99.9% (μs): 7.403
Request: select
Batch size: 10
RPS: 149768
Avg (μs): 6.677
Med (μs): 6.627
Min (μs): 6.148
Max (μs): 27.641
90% (μs): 6.922
99% (μs): 7.262
99.9% (μs): 7.656
Request: replace
Batch size: 10
RPS: 154546
Avg (μs): 6.471
Med (μs): 6.423
Min (μs): 5.935
Max (μs): 27.126
90% (μs): 6.713
99% (μs): 7.043
99.9% (μs): 7.504
Request: delete
Batch size: 10
RPS: 150381
Avg (μs): 6.650
Med (μs): 6.606
Min (μs): 6.140
Max (μs): 27.215
90% (μs): 6.889
99% (μs): 7.201
99.9% (μs): 7.540
Request: insert
Batch size: 10
RPS: 154177
Avg (μs): 6.486
Med (μs): 6.438
Min (μs): 5.810
Max (μs): 28.376
90% (μs): 6.721
99% (μs): 7.016
99.9% (μs): 7.353
Request: select
Batch size: 10
RPS: 149358
Avg (μs): 6.695
Med (μs): 6.650
Min (μs): 6.145
Max (μs): 27.516
90% (μs): 6.939
99% (μs): 7.252
99.9% (μs): 7.606
Request: replace
Batch size: 10
RPS: 155084
Avg (μs): 6.448
Med (μs): 6.394
Min (μs): 5.845
Max (μs): 27.348
90% (μs): 6.692
99% (μs): 7.043
99.9% (μs): 7.397
Request: delete
Batch size: 10
RPS: 150263
Avg (μs): 6.655
Med (μs): 6.608
Min (μs): 5.988
Max (μs): 27.414
90% (μs): 6.894
99% (μs): 7.220
99.9% (μs): 7.569
Request: insert
Batch size: 10
RPS: 154290
Avg (μs): 6.481
Med (μs): 6.431
Min (μs): 5.850
Max (μs): 287.585
90% (μs): 6.711
99% (μs): 7.035
99.9% (μs): 7.448
Request: select
Batch size: 10
RPS: 149147
Avg (μs): 6.705
Med (μs): 6.660
Min (μs): 6.074
Max (μs): 27.415
90% (μs): 6.941
99% (μs): 7.246
99.9% (μs): 7.646
Request: replace
Batch size: 10
RPS: 154434
Avg (μs): 6.475
Med (μs): 6.428
Min (μs): 5.842
Max (μs): 27.165
90% (μs): 6.709
99% (μs): 7.054
99.9% (μs): 8.055
Request: delete
Batch size: 10
RPS: 150804
Avg (μs): 6.631
Med (μs): 6.586
Min (μs): 6.143
Max (μs): 17.230
90% (μs): 6.866
99% (μs): 7.189
99.9% (μs): 7.552
Request: insert
Batch size: 10
RPS: 154068
Avg (μs): 6.491
Med (μs): 6.442
Min (μs): 5.825
Max (μs): 44.870
90% (μs): 6.719
99% (μs): 7.074
99.9% (μs): 8.369
Request: select
Batch size: 10
RPS: 149458
Avg (μs): 6.691
Med (μs): 6.642
Min (μs): 6.149
Max (μs): 39.588
90% (μs): 6.928
99% (μs): 7.257
99.9% (μs): 7.808
Request: replace
Batch size: 10
RPS: 154320
Avg (μs): 6.480
Med (μs): 6.435
Min (μs): 5.931
Max (μs): 17.857
90% (μs): 6.711
99% (μs): 7.031
99.9% (μs): 7.434
Request: delete
Batch size: 10
RPS: 151223
Avg (μs): 6.613
Med (μs): 6.562
Min (μs): 6.045
Max (μs): 21.363
90% (μs): 6.849
99% (μs): 7.169
99.9% (μs): 7.598
Request: insert
Batch size: 10
RPS: 154396
Avg (μs): 6.477
Med (μs): 6.428
Min (μs): 5.933
Max (μs): 16.961
90% (μs): 6.710
99% (μs): 7.045
99.9% (μs): 7.446
Request: select
Batch size: 10
RPS: 148527
Avg (μs): 6.733
Med (μs): 6.658
Min (μs): 6.045
Max (μs): 2176.388
90% (μs): 6.938
99% (μs): 7.260
99.9% (μs): 7.711
Request: replace
Batch size: 10
RPS: 154447
Avg (μs): 6.475
Med (μs): 6.430
Min (μs): 5.994
Max (μs): 17.307
90% (μs): 6.706
99% (μs): 7.014
99.9% (μs): 7.381
Request: delete
Batch size: 10
RPS: 150151
Avg (μs): 6.660
Med (μs): 6.617
Min (μs): 5.984
Max (μs): 17.316
90% (μs): 6.894
99% (μs): 7.200
99.9% (μs): 7.616
Request: insert
Batch size: 10
RPS: 154005
Avg (μs): 6.493
Med (μs): 6.442
Min (μs): 5.928
Max (μs): 41.694
90% (μs): 6.728
99% (μs): 7.056
99.9% (μs): 7.436
Request: select
Batch size: 10
RPS: 148804
Avg (μs): 6.720
Med (μs): 6.673
Min (μs): 6.190
Max (μs): 17.426
90% (μs): 6.954
99% (μs): 7.272
99.9% (μs): 7.711
Request: replace
Batch size: 10
RPS: 153824
Avg (μs): 6.501
Med (μs): 6.456
Min (μs): 5.891
Max (μs): 17.185
90% (μs): 6.732
99% (μs): 7.042
99.9% (μs): 7.553
Request: delete
Batch size: 10
RPS: 149891
Avg (μs): 6.672
Med (μs): 6.623
Min (μs): 5.988
Max (μs): 21.201
90% (μs): 6.901
99% (μs): 7.218
99.9% (μs): 7.626
Request: insert
Batch size: 10
RPS: 154552
Avg (μs): 6.470
Med (μs): 6.424
Min (μs): 5.952
Max (μs): 17.015
90% (μs): 6.712
99% (μs): 7.035
99.9% (μs): 7.428
Request: select
Batch size: 10
RPS: 149040
Avg (μs): 6.710
Med (μs): 6.662
Min (μs): 6.157
Max (μs): 17.599
90% (μs): 6.951
99% (μs): 7.274
99.9% (μs): 7.653
Request: replace
Batch size: 10
RPS: 154765
Avg (μs): 6.461
Med (μs): 6.414
Min (μs): 5.926
Max (μs): 102.025
90% (μs): 6.700
99% (μs): 7.026
99.9% (μs): 7.463
Request: delete
Batch size: 10
RPS: 150253
Avg (μs): 6.655
Med (μs): 6.609
Min (μs): 5.882
Max (μs): 43.277
90% (μs): 6.892
99% (μs): 7.223
99.9% (μs): 7.662
Request: insert
Batch size: 10
RPS: 154784
Avg (μs): 6.461
Med (μs): 6.416
Min (μs): 5.982
Max (μs): 13.440
90% (μs): 6.697
99% (μs): 7.026
99.9% (μs): 7.394
Request: select
Batch size: 10
RPS: 149572
Avg (μs): 6.686
Med (μs): 6.636
Min (μs): 6.111
Max (μs): 13.476
90% (μs): 6.918
99% (μs): 7.250
99.9% (μs): 7.745
Request: replace
Batch size: 10
RPS: 154175
Avg (μs): 6.486
Med (μs): 6.438
Min (μs): 5.953
Max (μs): 22.349
90% (μs): 6.720
99% (μs): 7.058
99.9% (μs): 7.537
Request: delete
Batch size: 10
RPS: 150511
Avg (μs): 6.644
Med (μs): 6.598
Min (μs): 6.170
Max (μs): 13.952
90% (μs): 6.879
99% (μs): 7.212
99.9% (μs): 7.930
Request: insert
Batch size: 10
RPS: 153743
Avg (μs): 6.504
Med (μs): 6.456
Min (μs): 5.820
Max (μs): 13.382
90% (μs): 6.736
99% (μs): 7.064
99.9% (μs): 7.558
Request: select
Batch size: 10
RPS: 148933
Avg (μs): 6.714
Med (μs): 6.667
Min (μs): 5.972
Max (μs): 13.614
90% (μs): 6.950
99% (μs): 7.265
99.9% (μs): 7.641
Request: replace
Batch size: 10
RPS: 154038
Avg (μs): 6.492
Med (μs): 6.448
Min (μs): 5.872
Max (μs): 13.198
90% (μs): 6.720
99% (μs): 7.012
99.9% (μs): 7.392
Request: delete
Batch size: 10
RPS: 150404
Avg (μs): 6.649
Med (μs): 6.600
Min (μs): 6.012
Max (μs): 120.252
90% (μs): 6.879
99% (μs): 7.202
99.9% (μs): 7.564
Request: insert
Batch size: 10
RPS: 154114
Avg (μs): 6.489
Med (μs): 6.443
Min (μs): 5.901
Max (μs): 13.604
90% (μs): 6.722
99% (μs): 7.049
99.9% (μs): 7.447
Request: select
Batch size: 10
RPS: 149417
Avg (μs): 6.693
Med (μs): 6.648
Min (μs): 5.985
Max (μs): 13.603
90% (μs): 6.925
99% (μs): 7.256
99.9% (μs): 7.600
Request: replace
Batch size: 10
RPS: 153989
Avg (μs): 6.494
Med (μs): 6.447
Min (μs): 5.960
Max (μs): 22.004
90% (μs): 6.725
99% (μs): 7.034
99.9% (μs): 7.505
Request: delete
Batch size: 10
RPS: 150434
Avg (μs): 6.647
Med (μs): 6.604
Min (μs): 6.077
Max (μs): 13.602
90% (μs): 6.882
99% (μs): 7.209
99.9% (μs): 7.563
Request: insert
Batch size: 10
RPS: 153493
Avg (μs): 6.515
Med (μs): 6.459
Min (μs): 5.965
Max (μs): 124.096
90% (μs): 6.754
99% (μs): 7.131
99.9% (μs): 8.030
Request: select
Batch size: 10
RPS: 148661
Avg (μs): 6.727
Med (μs): 6.669
Min (μs): 6.205
Max (μs): 27.431
90% (μs): 6.967
99% (μs): 7.318
99.9% (μs): 7.734
Request: replace
Batch size: 10
RPS: 153136
Avg (μs): 6.530
Med (μs): 6.472
Min (μs): 5.931
Max (μs): 45.993
90% (μs): 6.768
99% (μs): 7.152
99.9% (μs): 7.667
Request: delete
Batch size: 10
RPS: 149476
Avg (μs): 6.690
Med (μs): 6.634
Min (μs): 6.060
Max (μs): 27.590
90% (μs): 6.931
99% (μs): 7.305
99.9% (μs): 8.037
Request: insert
Batch size: 10
RPS: 153384
Avg (μs): 6.520
Med (μs): 6.460
Min (μs): 5.813
Max (μs): 31.980
90% (μs): 6.763
99% (μs): 7.144
99.9% (μs): 7.640
Request: select
Batch size: 10
RPS: 148672
Avg (μs): 6.726
Med (μs): 6.672
Min (μs): 6.178
Max (μs): 27.155
90% (μs): 6.964
99% (μs): 7.318
99.9% (μs): 7.729
Request: replace
Batch size: 10
RPS: 153226
Avg (μs): 6.526
Med (μs): 6.471
Min (μs): 6.140
Max (μs): 27.182
90% (μs): 6.760
99% (μs): 7.141
99.9% (μs): 7.648
Request: delete
Batch size: 10
RPS: 149687
Avg (μs): 6.681
Med (μs): 6.631
Min (μs): 6.127
Max (μs): 27.203
90% (μs): 6.914
99% (μs): 7.256
99.9% (μs): 7.650
Request: insert
Batch size: 10
RPS: 152843
Avg (μs): 6.543
Med (μs): 6.477
Min (μs): 6.126
Max (μs): 191.188
90% (μs): 6.789
99% (μs): 7.179
99.9% (μs): 7.653
Request: select
Batch size: 10
RPS: 148815
Avg (μs): 6.720
Med (μs): 6.666
Min (μs): 6.216
Max (μs): 27.149
90% (μs): 6.958
99% (μs): 7.322
99.9% (μs): 7.801
Request: replace
Batch size: 10
RPS: 153259
Avg (μs): 6.525
Med (μs): 6.467
Min (μs): 6.093
Max (μs): 27.205
90% (μs): 6.758
99% (μs): 7.117
99.9% (μs): 7.709
Request: delete
Batch size: 10
RPS: 149892
Avg (μs): 6.671
Med (μs): 6.623
Min (μs): 6.210
Max (μs): 17.516
90% (μs): 6.903
99% (μs): 7.262
99.9% (μs): 7.703
Request: insert
Batch size: 10
RPS: 152552
Avg (μs): 6.555
Med (μs): 6.495
Min (μs): 6.144
Max (μs): 18.316
90% (μs): 6.794
99% (μs): 7.147
99.9% (μs): 7.522
Request: select
Batch size: 10
RPS: 148987
Avg (μs): 6.712
Med (μs): 6.661
Min (μs): 6.243
Max (μs): 27.312
90% (μs): 6.945
99% (μs): 7.306
99.9% (μs): 7.911
Request: replace
Batch size: 10
RPS: 152285
Avg (μs): 6.567
Med (μs): 6.505
Min (μs): 6.135
Max (μs): 17.018
90% (μs): 6.810
99% (μs): 7.163
99.9% (μs): 7.589
Request: delete
Batch size: 10
RPS: 149472
Avg (μs): 6.690
Med (μs): 6.638
Min (μs): 6.163
Max (μs): 21.514
90% (μs): 6.920
99% (μs): 7.293
99.9% (μs): 7.762
Request: insert
Batch size: 10
RPS: 153839
Avg (μs): 6.500
Med (μs): 6.446
Min (μs): 6.124
Max (μs): 17.483
90% (μs): 6.739
99% (μs): 7.111
99.9% (μs): 7.535
Request: select
Batch size: 10
RPS: 148747
Avg (μs): 6.723
Med (μs): 6.650
Min (μs): 6.195
Max (μs): 2171.910
90% (μs): 6.938
99% (μs): 7.289
99.9% (μs): 7.787
Request: replace
Batch size: 10
RPS: 152831
Avg (μs): 6.543
Med (μs): 6.486
Min (μs): 5.912
Max (μs): 17.129
90% (μs): 6.780
99% (μs): 7.164
99.9% (μs): 7.586
Request: delete
Batch size: 10
RPS: 149028
Avg (μs): 6.710
Med (μs): 6.644
Min (μs): 6.180
Max (μs): 1079.199
90% (μs): 6.935
99% (μs): 7.292
99.9% (μs): 7.689
Request: insert
Batch size: 10
RPS: 152942
Avg (μs): 6.538
Med (μs): 6.477
Min (μs): 6.122
Max (μs): 44.928
90% (μs): 6.771
99% (μs): 7.166
99.9% (μs): 8.004
Request: select
Batch size: 10
RPS: 148999
Avg (μs): 6.711
Med (μs): 6.660
Min (μs): 6.214
Max (μs): 17.263
90% (μs): 6.948
99% (μs): 7.311
99.9% (μs): 7.761
Request: replace
Batch size: 10
RPS: 153158
Avg (μs): 6.529
Med (μs): 6.471
Min (μs): 5.970
Max (μs): 17.793
90% (μs): 6.764
99% (μs): 7.136
99.9% (μs): 8.073
Request: delete
Batch size: 10
RPS: 149661
Avg (μs): 6.682
Med (μs): 6.628
Min (μs): 6.031
Max (μs): 21.553
90% (μs): 6.915
99% (μs): 7.294
99.9% (μs): 7.850
Request: insert
Batch size: 10
RPS: 152781
Avg (μs): 6.545
Med (μs): 6.484
Min (μs): 6.051
Max (μs): 17.273
90% (μs): 6.782
99% (μs): 7.191
99.9% (μs): 7.609
Request: select
Batch size: 10
RPS: 148910
Avg (μs): 6.715
Med (μs): 6.665
Min (μs): 6.201
Max (μs): 17.612
90% (μs): 6.952
99% (μs): 7.337
99.9% (μs): 8.581
Request: replace
Batch size: 10
RPS: 153016
Avg (μs): 6.535
Med (μs): 6.472
Min (μs): 5.994
Max (μs): 128.585
90% (μs): 6.782
99% (μs): 7.136
99.9% (μs): 7.545
Request: delete
Batch size: 10
RPS: 149466
Avg (μs): 6.691
Med (μs): 6.638
Min (μs): 6.166
Max (μs): 31.250
90% (μs): 6.922
99% (μs): 7.293
99.9% (μs): 7.936
Request: insert
Batch size: 10
RPS: 152783
Avg (μs): 6.545
Med (μs): 6.483
Min (μs): 6.103
Max (μs): 41.690
90% (μs): 6.782
99% (μs): 7.167
99.9% (μs): 7.627
Request: select
Batch size: 10
RPS: 148853
Avg (μs): 6.718
Med (μs): 6.669
Min (μs): 6.215
Max (μs): 13.566
90% (μs): 6.950
99% (μs): 7.317
99.9% (μs): 7.723
Request: replace
Batch size: 10
RPS: 153130
Avg (μs): 6.530
Med (μs): 6.472
Min (μs): 6.095
Max (μs): 21.416
90% (μs): 6.770
99% (μs): 7.143
99.9% (μs): 7.618
Request: delete
Batch size: 10
RPS: 150127
Avg (μs): 6.661
Med (μs): 6.606
Min (μs): 6.188
Max (μs): 13.488
90% (μs): 6.889
99% (μs): 7.245
99.9% (μs): 7.661
Request: insert
Batch size: 10
RPS: 152931
Avg (μs): 6.539
Med (μs): 6.478
Min (μs): 6.060
Max (μs): 13.278
90% (μs): 6.783
99% (μs): 7.183
99.9% (μs): 7.587
Request: select
Batch size: 10
RPS: 148841
Avg (μs): 6.719
Med (μs): 6.664
Min (μs): 6.215
Max (μs): 14.035
90% (μs): 6.969
99% (μs): 7.357
99.9% (μs): 7.829
Request: replace
